Date,Address,Land Area,Price per m2,Price Total,Subdistrict,Regency
2024-04-15,"Goa Gong, Badung",100.0,4500000.0,450000000.0,Goa Gong,Badung
2024-04-22,"Sanur, Denpasar",459.0,15000000.0,6885000000.0,Sanur,Denpasar
2024-03-30,"Canggu, Badung",401.0,12000000.0,4812000000.0,Canggu,Badung
2024-04-27,"Umalas, Badung",450.0,9488888.888888888,4269999999.9999995,Umalas,Badung
2024-04-27,"Munggu, Badung",150.0,6666666.666666667,1000000000.0,Munggu,Badung
2024-04-27,"Gatot Subroto, Denpasar",184.0,6500000.0,1196000000.0,Gatot Subroto,Denpasar
2024-04-27,"Pecatu, Badung",1000.0,4750000.0,4750000000.0,Pecatu,Badung
2024-04-27,"Seminyak, Badung",900.0,15000000.0,13500000000.0,Seminyak,Badung
2024-04-27,"Canggu, Badung",275.0,14000000.0,3850000000.0,Canggu,Badung
2024-04-27,"Ungasan, Badung",100.0,5500000.0,550000000.0,Ungasan,Badung
2024-04-27,"Jimbaran, Badung",460.0,9239130.43478261,4250000000.0,Jimbaran,Badung
2024-01-30,"Pecatu, Badung",590.0,7000000.0,4130000000.0,Pecatu,Badung
2024-04-24,"Seminyak, Badung",296.0,16000000.0,4736000000.0,Seminyak,Badung
2024-04-27,"Ungasan, Badung",3000.0,5500000.0,16500000000.0,Ungasan,Badung
2024-04-22,"Canggu, Badung",321.0,10000000.0,3210000000.0,Canggu,Badung
2024-04-27,"Ungasan, Badung",2110.0,5000000.0,10550000000.0,Ungasan,Badung
2024-04-08,"Renon, Denpasar",691.0,9985528.219971057,6900000000.0,Renon,Denpasar
2024-04-27,"Sidakarya, Denpasar",2640.0,7500000.0,19800000000.0,Sidakarya,Denpasar
2024-04-27,"Pecatu, Badung",200.0,7500000.0,1500000000.0,Pecatu,Badung
2024-04-27,"Bajera, Tabanan",3150.0,300000.0,945000000.0,Bajera,Tabanan
2024-02-29,"Pererenan, Badung",250.0,17000000.0,4250000000.0,Pererenan,Badung
2024-04-27,"Ketewel, Gianyar",300.0,3500000.0,1050000000.0,Ketewel,Gianyar
2024-04-27,"Nusa Dua, Badung",270.0,6111111.111111111,1650000000.0,Nusa Dua,Badung
2024-04-27,"Beraban, Tabanan",483.0,4244306.418219461,2049999999.9999998,Beraban,Tabanan
2024-01-30,"Ungasan, Badung",2278.0,4250000.0,9681500000.0,Ungasan,Badung
2024-04-27,"Denbantas, Tabanan",100.0,2400000.0,240000000.0,Denbantas,Tabanan
2024-04-27,"Munggu, Badung",202.0,5445544.554455445,1100000000.0,Munggu,Badung
2024-04-27,"Dewi Sri, Badung",1000.0,15000000.0,15000000000.0,Dewi Sri,Badung
2024-04-27,"Mahendradata, Denpasar",600.0,14500000.0,8700000000.0,Mahendradata,Denpasar
2024-04-27,"Kesiman, Denpasar",295.0,7500000.0,2212500000.0,Kesiman,Denpasar
2024-04-27,"Ubud, Gianyar",1200.0,6583333.333333333,7900000000.0,Ubud,Gianyar
2024-04-27,"Goa Gong, Badung",174.0,3500000.0,609000000.0,Goa Gong,Badung
2024-04-27,"Renon, Denpasar",420.0,13000000.0,5460000000.0,Renon,Denpasar
2024-04-27,"Jimbaran, Badung",1800.0,12000000.0,21600000000.0,Jimbaran,Badung
2024-04-27,"Sesetan, Denpasar",120.0,6000000.0,720000000.0,Sesetan,Denpasar
2024-04-27,"Renon, Denpasar",2838.0,10000000.0,28380000000.0,Renon,Denpasar
2024-04-27,"Padanggalak, Denpasar",1600.0,10000000.0,16000000000.0,Padanggalak,Denpasar
2024-04-27,"Tegallalang, Gianyar",1100.0,800000.0,880000000.0,Tegallalang,Gianyar
2024-03-30,"Ubud, Gianyar",1065.0,2500000.0,2662500000.0,Ubud,Gianyar
2024-03-30,"Ubud, Gianyar",312.0,2850000.0,889200000.0,Ubud,Gianyar
2024-03-30,"Ubud, Gianyar",930.0,4000000.0,3720000000.0,Ubud,Gianyar
2024-04-01,"Ubud, Gianyar",1784.0,2522421.524663677,4500000000.0,Ubud,Gianyar
2024-04-27,"Munggu, Badung",3064.0,8975195.822454307,27500000000.0,Munggu,Badung
2024-04-15,"Ubud, Gianyar",300.0,3850000.0,1155000000.0,Ubud,Gianyar
2024-04-27,"Ubud, Gianyar",500.0,6750000.0,3375000000.0,Ubud,Gianyar
2024-04-27,"Sanur, Denpasar",880.0,15500000.0,13640000000.0,Sanur,Denpasar
2024-04-27,"Selemadeg, Tabanan",4660.0,214592.2746781116,1000000000.0,Selemadeg,Tabanan
2024-01-30,"Jimbaran, Badung",540.0,8500000.0,4590000000.0,Jimbaran,Badung
2024-04-27,"Nusa Dua, Badung",1300.0,2800000.0,3640000000.0,Nusa Dua,Badung
2024-02-29,"Tibubeneng, Badung",700.0,9000000.0,6300000000.0,Tibubeneng,Badung
2024-01-30,"Canggu, Badung",1725.0,11594202.898550725,20000000000.0,Canggu,Badung
2024-04-27,"Buwit, Tabanan",1585.0,4700000.0,7449500000.0,Buwit,Tabanan
2024-04-27,"Pering, Gianyar",1100.0,4600000.0,5060000000.0,Pering,Gianyar
2024-04-27,"Nusa Dua, Badung",1640.0,3750000.0,6150000000.0,Nusa Dua,Badung
2024-04-28,"Mas, Gianyar",300.0,4800000.0,1440000000.0,Mas,Gianyar
2024-04-27,"Munggu, Badung",3064.0,8975195.822454307,27500000000.0,Munggu,Badung
